journal_name,jif,jif_5yr,jif_quartile,category,issn,eissn
Journal of Advanced Ceramics,16.6,15.6,Q1,"MATERIALS SCIENCE, CERAMICS|Q1|1/31",2226-4108,2227-8508
Molecular Cell,16.6,17.7,Q1,CELL BIOLOGY|Q1|14/205,1097-2765,1097-4164
CANCER RESEARCH,16.6,13.4,Q1,ONCOLOGY|Q1|20/322,0008-5472,1538-7445
Annual Review of Clinical Psychology,16.5,24.3,Q1,"PSYCHOLOGY, CLINICAL|Q1|1/180",1548-5943,1548-5951
Academy of Management Annals,16.5,26.9,Q1,MANAGEMENT|Q1|3/401,1941-6520,1941-6067
Lancet Rheumatology,16.4,14.6,Q1,RHEUMATOLOGY|Q1|3/57,2665-9913,2665-9913
IEEE Geoscience and Remote Sensing Magazine,16.4,19.1,Q1,REMOTE SENSING|Q1|1/62,2473-2397,2168-6831
Journal of the National Comprehensive Cancer Network,16.4,13.2,Q1,ONCOLOGY|Q1|16/322,1540-1405,1540-1413
Green Energy and Intelligent Transportation,16.4,16.4,Q1,,2097-2512,2773-1537
Science Immunology,16.3,17.7,Q1,IMMUNOLOGY|Q1|6/181,2470-9468,2470-9468
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,16.3,17.5,Q1,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY|Q1|3/91,1364-0321,1879-0690
TRENDS IN GENETICS,16.3,13.7,Q1,GENETICS & HEREDITY|Q1|4/191,0168-9525,1362-4555
BRITISH JOURNAL OF SPORTS MEDICINE,16.2,17.8,Q1,SPORT SCIENCES|Q1|1/127,0306-3674,1473-0480
CIRCULATION RESEARCH,16.2,20.8,Q1,PERIPHERAL VASCULAR DISEASE|Q1|2/96,0009-7330,1524-4571
PROGRESS IN AEROSPACE SCIENCES,16.2,17.1,Q1,"ENGINEERING, AEROSPACE|Q1|1/52",0376-0421,1873-1724
HUMAN REPRODUCTION UPDATE,16.1,17.9,Q1,REPRODUCTIVE BIOLOGY|Q1|1/39,1355-4786,1460-2369
Nature Geoscience,16.1,20.0,Q1,"GEOSCIENCES, MULTIDISCIPLINARY|Q1|2/253",1752-0894,1752-0908
Applied Mechanics Reviews,16.1,15.1,Q1,MECHANICS|Q1|2/170,0003-6900,2379-0407
Nature Protocols,16.0,19.4,Q1,BIOCHEMICAL RESEARCH METHODS|Q1|2/85,1754-2189,1750-2799
ACS Nano,16.0,16.4,Q1,NANOSCIENCE & NANOTECHNOLOGY|Q1|11/140,1936-0851,1936-086X
Annual Review of Environment and Resources,16.0,22.2,Q1,ENVIRONMENTAL STUDIES|Q1|3/182,1543-5938,1545-2050
Nature Human Behaviour,15.9,19.7,Q1,"PSYCHOLOGY, EXPERIMENTAL|Q1|1/99",2397-3374,2397-3374
Energy Material Advances,15.9,15.2,Q1,"PHYSICS, APPLIED|Q1|11/179",2097-1133,2692-7640
HEPATOLOGY,15.8,14.5,Q1,GASTROENTEROLOGY & HEPATOLOGY|Q1|7/143,0270-9139,1527-3350
Physical Review X,15.7,15.4,Q1,"PHYSICS, MULTIDISCIPLINARY|Q1|6/110",2160-3308,2160-3308
PERIODONTOLOGY 2000,15.7,18.1,Q1,"DENTISTRY, ORAL SURGERY & MEDICINE|Q1|1/157",0906-6713,1600-0757
SEMINARS IN CANCER BIOLOGY,15.7,15.5,Q1,ONCOLOGY|Q1|21/322,1044-579X,1096-3650
Nature Communications,15.7,17.2,Q1,MULTIDISCIPLINARY SCIENCES|Q1|8/134,N/A,2041-1723
Journal of the American Chemical Society,15.6,15.5,Q1,"CHEMISTRY, MULTIDISCIPLINARY|Q1|17/230",0002-7863,1520-5126
Lancet Child & Adolescent Health,15.5,17.8,Q1,PEDIATRICS|Q1|2/186,2352-4642,2352-4642
Journal of Innovation & Knowledge,15.5,15.0,Q1,MANAGEMENT|Q1|2/401,2530-7614,2444-569X
Information Fusion,15.5,17.9,Q1,"COMPUTER SCIENCE, THEORY & METHODS|Q1|2/143",1566-2535,1872-6305
npj Flexible Electronics,15.5,15.8,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|38/438",N/A,2397-4621
BMEMat,15.5,15.5,Q1,,2751-7438,2751-7446
INTERNATIONAL MATERIALS REVIEWS,15.5,20.6,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|24/438",0950-6608,1743-2804
Statistics Surveys,15.4,9.4,Q1,STATISTICS & PROBABILITY|Q1|1/168,1935-7516,1935-7516
TRENDS IN FOOD SCIENCE & TECHNOLOGY,15.4,18.4,Q1,FOOD SCIENCE & TECHNOLOGY|Q1|2/173,0924-2244,1879-3053
CELL DEATH AND DIFFERENTIATION,15.4,13.7,Q1,CELL BIOLOGY|Q1|15/205,1350-9047,1476-5403
One Earth,15.3,19.2,Q1,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY|Q1|4/91,2590-3330,2590-3322
RADIOLOGY,15.2,14.3,Q1,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q1|2/204",0033-8419,N/A
ANNALS OF INTERNAL MEDICINE,15.2,19.9,Q1,"MEDICINE, GENERAL & INTERNAL|Q1|8/325",0003-4819,1539-3704
JACC-Cardiovascular Imaging,15.2,13.9,Q1,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q1|1/204",1936-878X,1876-7591
Translational Neurodegeneration,15.2,15.0,Q1,NEUROSCIENCES|Q1|13/310,2047-9158,2047-9158
Mycosphere,15.1,15.5,Q1,MYCOLOGY|Q1|3/33,2077-7000,2077-7019
npj Digital Medicine,15.1,17.0,Q1,MEDICAL INFORMATICS|Q1|2/44,2398-6352,2398-6352
TRENDS IN NEUROSCIENCES,15.1,17.2,Q1,NEUROSCIENCES|Q1|10/310,0166-2236,1878-108X
Neuron,15.0,16.6,Q1,NEUROSCIENCES|Q1|9/310,0896-6273,1097-4199
Bone Research,15.0,14.8,Q1,CELL & TISSUE ENGINEERING|Q1|2/31,2095-4700,2095-6231
JAMA Surgery,14.9,16.7,Q1,SURGERY|Q1|1/290,2168-6254,2168-6262
Journal of Energy Chemistry,14.9,13.1,Q1,"ENGINEERING, CHEMICAL|Q1|6/170",2095-4956,2095-4956
PROGRESS IN LIPID RESEARCH,14.9,16.5,Q1,NUTRITION & DIETETICS|Q1|1/114,0163-7827,1873-2194
TRENDS IN BIOTECHNOLOGY,14.9,16.6,Q1,BIOTECHNOLOGY & APPLIED MICROBIOLOGY|Q1|3/174,0167-7799,1879-3096
TRENDS IN MICROBIOLOGY,14.9,16.9,Q1,MICROBIOLOGY|Q1|7/161,0966-842X,1878-4380
International Journal of Transgender Health,14.8,10.8,Q1,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q1|1/263",2689-5269,2689-5277
AI Open,14.8,29.7,Q1,,N/A,2666-6510
PROGRESS IN RETINAL AND EYE RESEARCH,14.7,19.2,Q1,OPHTHALMOLOGY|Q1|1/95,1350-9462,1873-1635
AMERICAN JOURNAL OF PSYCHIATRY,14.7,17.9,Q1,PSYCHIATRY|Q1|5/276,0002-953X,1535-7228
ENDOCRINE PATHOLOGY,14.7,7.5,Q1,PATHOLOGY|Q1|2/88,1046-3976,1559-0097
Accounts of Materials Research,14.7,16.0,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|30/438",N/A,2643-6728
Acta Pharmaceutica Sinica B,14.6,15.2,Q1,PHARMACOLOGY & PHARMACY|Q1|5/354,2211-3835,2211-3843
Science Translational Medicine,14.6,16.0,Q1,"MEDICINE, RESEARCH & EXPERIMENTAL|Q1|2/189",1946-6234,1946-6242
Lancet Healthy Longevity,14.6,16.3,Q1,GERIATRICS & GERONTOLOGY|Q1|2/74,2666-7568,2666-7568
Nature Reviews Urology,14.6,16.0,Q1,UROLOGY & NEPHROLOGY|Q1|5/126,1759-4812,1759-4820
Green Energy & Environment,14.6,12.4,Q1,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY|Q1|8/91,2096-2797,2468-0257
HemaSphere,14.6,10.8,Q1,HEMATOLOGY|Q1|11/97,N/A,2572-9241
Nature Ecology & Evolution,14.5,17.6,Q1,EVOLUTIONARY BIOLOGY|Q1|2/54,2397-334X,2397-334X
Communications in Transportation Research,14.5,13.5,Q1,TRANSPORTATION SCIENCE & TECHNOLOGY|Q1|3/72,2772-4247,2772-4247
Journal of Extracellular Vesicles,14.5,16.7,Q1,CELL BIOLOGY|Q1|12/205,N/A,2001-3078
DRUGS,14.4,13.2,Q1,TOXICOLOGY|Q1|1/106,0012-6667,1179-1950
Qualitative Psychology,14.3,8.9,Q1,"PSYCHOLOGY, MULTIDISCIPLINARY|Q1|7/218",2326-3601,2326-3598
IEEE Transactions on Intelligent Vehicles,14.3,13.1,Q1,TRANSPORTATION SCIENCE & TECHNOLOGY|Q1|2/72,2379-8858,2379-8904
Nature Astronomy,14.3,14.3,Q1,ASTRONOMY & ASTROPHYSICS|Q1|4/84,2397-3366,2397-3366
Journal of Materials Science & Technology,14.3,12.4,Q1,METALLURGY & METALLURGICAL ENGINEERING|Q1|2/90,1005-0302,1941-1162
Physics of Life Reviews,14.3,11.1,Q1,BIOPHYSICS|Q1|1/77,1571-0645,1873-1457
Environmental Science and Ecotechnology,14.3,15.0,Q1,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY|Q1|5/91,2666-4984,2666-4984
Autophagy,14.3,17.1,Q1,CELL BIOLOGY|Q1|13/205,1554-8627,1554-8635
Energy Economics,14.2,13.2,Q1,ECONOMICS|Q1|1/597,0140-9883,1873-6181
COMPOSITES PART B-ENGINEERING,14.2,12.7,Q1,"MATERIALS SCIENCE, COMPOSITES|Q1|2/35",1359-8368,1879-1069
JOURNAL OF MANUFACTURING SYSTEMS,14.2,13.9,Q1,OPERATIONS RESEARCH & MANAGEMENT SCIENCE|Q1|1/106,0278-6125,1878-6642
JAMA Cardiology,14.1,15.6,Q1,CARDIAC & CARDIOVASCULAR SYSTEMS|Q1|7/220,2380-6583,2380-6591
Energy & Environmental Materials,14.1,14.7,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|35/438",N/A,2575-0356
Advanced Science,14.1,15.6,Q1,NANOSCIENCE & NANOTECHNOLOGY|Q1|12/140,N/A,2198-3844
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,14.1,17.8,Q1,FOOD SCIENCE & TECHNOLOGY|Q1|3/173,1541-4337,1541-4337
Annual Review of Control Robotics and Autonomous Systems,14.0,17.6,Q1,ROBOTICS|Q1|2/46,N/A,2573-5144
ACADEMY OF MANAGEMENT REVIEW,13.9,19.3,Q1,MANAGEMENT|Q1|1/401,0363-7425,1930-3807
ARTIFICIAL INTELLIGENCE REVIEW,13.9,14.9,Q1,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE|Q1|9/197",0269-2821,1573-7462
TRENDS IN IMMUNOLOGY,13.9,15.2,Q1,IMMUNOLOGY|Q1|7/181,1471-4906,1471-4981
Journal of Magnesium and Alloys,13.8,14.1,Q1,METALLURGY & METALLURGICAL ENGINEERING|Q1|1/90,2213-9567,2213-9567
Advances in Applied Energy,13.8,14.4,Q1,ENERGY & FUELS|Q1|13/170,2666-7924,2666-7924
TRENDS IN MOLECULAR MEDICINE,13.8,14.4,Q1,"MEDICINE, RESEARCH & EXPERIMENTAL|Q1|5/189",1471-4914,1471-499X
Materials Reports: Energy,13.8,13.4,Q1,,N/A,2666-9358
ADVANCES IN PHYSICS,13.8,43.5,Q1,"PHYSICS, CONDENSED MATTER|Q1|2/79",0001-8732,1460-6976
International Journal of Mining Science and Technology,13.7,10.1,Q1,MINING & MINERAL PROCESSING|Q1|1/31,2095-2686,2212-6066
BEHAVIORAL AND BRAIN SCIENCES,13.7,16.4,Q1,"PSYCHOLOGY, BIOLOGICAL|Q1|1/18",0140-525X,1469-1825
Nature Chemical Biology,13.7,15.7,Q1,BIOCHEMISTRY & MOLECULAR BIOLOGY|Q1|11/313,1552-4450,1552-4469
IEEE Journal of Selected Topics in Signal Processing,13.7,11.6,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q1|16/352",1932-4553,1941-0484
Annual Review of Biophysics,13.7,15.1,Q1,BIOPHYSICS|Q1|4/77,1936-122X,1936-1238
IEEE TRANSACTIONS ON IMAGE PROCESSING,13.7,13.7,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q1|9/352",1057-7149,1941-0042
Aggregate,13.7,15.3,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|31/438",N/A,2692-4560
Nature Plants,13.6,17.0,Q1,PLANT SCIENCES|Q1|4/265,2055-026X,2055-0278
JOURNAL OF CLINICAL INVESTIGATION,13.6,14.4,Q1,"MEDICINE, RESEARCH & EXPERIMENTAL|Q1|4/189",0021-9738,1558-8238
Interdisciplinary Medicine,13.6,13.6,Q1,,2832-6237,2832-6245
Trends in Chemistry,13.6,16.6,Q1,"CHEMISTRY, MULTIDISCIPLINARY|Q1|19/230",N/A,2589-5974
Biochar,13.5,14.1,Q1,SOIL SCIENCE|Q1|1/49,2524-7972,2524-7867
Experimental Hematology & Oncology,13.5,11.3,Q1,ONCOLOGY|Q1|32/322,N/A,2162-3619
ACTA PHYSICO-CHIMICA SINICA,13.5,6.6,Q1,"CHEMISTRY, PHYSICAL|Q1|24/178",1000-6818,N/A
Advances in Methods and Practices in Psychological Science,13.4,18.5,Q1,"PSYCHOLOGY, MULTIDISCIPLINARY|Q1|5/218",2515-2459,2515-2467
NEURO-ONCOLOGY,13.4,16.0,Q1,ONCOLOGY|Q1|15/322,1522-8517,1523-5866
Implementation Science,13.4,11.7,Q1,HEALTH POLICY & SERVICES|Q1|2/118,1748-5908,1748-5908
Trends in Environmental Analytical Chemistry,13.4,12.4,Q1,ENVIRONMENTAL SCIENCES|Q1|16/358,2214-1588,2214-1588
LEUKEMIA,13.4,10.6,Q1,ONCOLOGY|Q1|19/322,0887-6924,1476-5551
Annual Review of Nutrition,13.4,14.8,Q1,NUTRITION & DIETETICS|Q1|2/114,0199-9885,1545-4312
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,13.4,13.1,Q1,"PHYSICS, CONDENSED MATTER|Q1|8/79",1359-0286,1879-0348
Theranostics,13.3,13.1,Q1,"MEDICINE, RESEARCH & EXPERIMENTAL|Q1|8/189",1838-7640,1838-7640
Business Strategy and the Environment,13.3,16.1,Q1,MANAGEMENT|Q1|5/401,0964-4733,1099-0836
CARDIOVASCULAR RESEARCH,13.3,12.0,Q1,CARDIAC & CARDIOVASCULAR SYSTEMS|Q1|12/220,0008-6363,1755-3245
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,13.3,13.9,Q1,REGIONAL & URBAN PLANNING|Q1|1/54,0040-1625,1873-5509
Radiology-Artificial Intelligence,13.2,13.2,Q1,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q1|9/204",2638-6100,2638-6100
Annual Review of Neuroscience,13.2,16.9,Q1,NEUROSCIENCES|Q1|11/310,0147-006X,1545-4126
Chemical Engineering Journal,13.2,13.5,Q1,"ENGINEERING, ENVIRONMENTAL|Q1|3/81",1385-8947,1873-3212
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,13.2,14.6,Q1,ENVIRONMENTAL SCIENCES|Q1|13/358,1064-3389,1547-6537
NUCLEIC ACIDS RESEARCH,13.1,16.8,Q1,BIOCHEMISTRY & MOLECULAR BIOLOGY|Q1|6/313,0305-1048,1362-4962
Journal of Retailing and Consumer Services,13.1,12.8,Q1,BUSINESS|Q1|8/302,0969-6989,1873-1384
CEMENT AND CONCRETE RESEARCH,13.1,15.3,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|45/438",0008-8846,1873-3948
Annual Review of Pharmacology and Toxicology,13.1,14.2,Q1,TOXICOLOGY|Q1|2/106,0362-1642,1545-4304
CEMENT & CONCRETE COMPOSITES,13.1,13.4,Q1,"MATERIALS SCIENCE, COMPOSITES|Q1|3/35",0958-9465,1873-393X
ACS Catalysis,13.1,13.3,Q1,"CHEMISTRY, PHYSICAL|Q1|23/178",2155-5435,2155-5435
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,13.1,15.9,Q1,"CHEMISTRY, PHYSICAL|Q1|20/178",1389-5567,1873-2739
Journal of Bioresources and Bioproducts,13.0,N/A,Q1,"MATERIALS SCIENCE, PAPER & WOOD|Q1|1/23",2097-2415,2369-9698
Lancet Regional Health-Europe,13.0,12.5,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|7/403",2666-7762,2666-7762
Journal of Advanced Research,13.0,11.6,Q1,MULTIDISCIPLINARY SCIENCES|Q1|12/134,2090-1232,2090-1224
Lancet HIV,13.0,12.3,Q1,INFECTIOUS DISEASES|Q1|4/132,2352-3018,2352-3018
HUMAN RESOURCE MANAGEMENT REVIEW,13.0,13.2,Q1,MANAGEMENT|Q1|25/401,1053-4822,1873-7889
Annual Review of Earth and Planetary Sciences,13.0,18.5,Q1,"GEOSCIENCES, MULTIDISCIPLINARY|Q1|3/253",0084-6597,1545-4495
Foundations and Trends in Information Retrieval,12.9,13.3,Q1,"COMPUTER SCIENCE, INFORMATION SYSTEMS|Q1|8/249",1554-0669,1554-0677
BIOMATERIALS,12.9,13.4,Q1,"MATERIALS SCIENCE, BIOMATERIALS|Q1|2/53",0142-9612,1878-5905
EXPERIMENTAL AND MOLECULAR MEDICINE,12.9,14.2,Q1,"MEDICINE, RESEARCH & EXPERIMENTAL|Q1|13/189",1226-3613,2092-6413
ENDOSCOPY,12.8,10.3,Q1,SURGERY|Q1|3/290,0013-726X,1438-8812
INTERNATIONAL JOURNAL OF PLASTICITY,12.8,11.6,Q1,MECHANICS|Q1|4/170,0749-6419,1879-2154
JACC: CardioOncology,12.8,13.4,Q1,ONCOLOGY|Q1|22/322,2666-0873,2666-0873
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,12.8,12.2,Q1,ONCOLOGY|Q1|25/322,N/A,1756-9966
SmartMat,12.8,13.3,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|28/438",2766-8525,2688-819X
Protein & Cell,12.8,19.5,Q1,CELL BIOLOGY|Q1|16/205,1674-800X,1674-8018
Annual Review of Chemical and Biomolecular Engineering,12.8,11.9,Q1,"ENGINEERING, CHEMICAL|Q1|17/170",1947-5438,1947-5446
QUARTERLY JOURNAL OF ECONOMICS,12.7,20.9,Q1,ECONOMICS|Q1|3/597,0033-5533,1531-4650
Microbiome,12.7,16.6,Q1,MICROBIOLOGY|Q1|8/161,2049-2618,2049-2618
Computer Science Review,12.7,16.0,Q1,"COMPUTER SCIENCE, THEORY & METHODS|Q1|3/143",1574-0137,1876-7745
KIDNEY INTERNATIONAL,12.6,13.7,Q1,UROLOGY & NEPHROLOGY|Q1|4/126,0085-2538,1523-1755
Analytic Methods in Accident Research,12.6,14.2,Q1,TRANSPORTATION|Q1|1/57,2213-6657,2213-6665
JOURNAL OF NANOBIOTECHNOLOGY,12.6,12.3,Q1,NANOSCIENCE & NANOTECHNOLOGY|Q1|21/140,N/A,1477-3155
TRENDS IN ENDOCRINOLOGY AND METABOLISM,12.6,12.5,Q1,ENDOCRINOLOGY & METABOLISM|Q1|7/186,1043-2760,1879-3061
EcoMat,12.6,13.1,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|46/438",N/A,2567-3173
TECHNOLOGY IN SOCIETY,12.5,11.5,Q1,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q1|2/263",0160-791X,1879-3274
Science Advances,12.5,14.1,Q1,MULTIDISCIPLINARY SCIENCES|Q1|11/134,2375-2548,2375-2548
Carbohydrate Polymers,12.5,11.9,Q1,POLYMER SCIENCE|Q1|3/94,0144-8617,1879-1344
PHARMACOLOGY & THERAPEUTICS,12.5,14.0,Q1,PHARMACOLOGY & PHARMACY|Q1|8/354,0163-7258,1879-016X
Cell Discovery,12.5,14.3,Q1,CELL BIOLOGY|Q1|17/205,N/A,2056-5968
BIOTECHNOLOGY ADVANCES,12.5,15.7,Q1,BIOTECHNOLOGY & APPLIED MICROBIOLOGY|Q1|4/174,0734-9750,1873-1899
Carbon Neutrality,12.5,12.5,Q1,,2788-8614,2731-3948
PROGRESS IN QUANTUM ELECTRONICS,12.5,13.6,Q1,QUANTUM SCIENCE & TECHNOLOGY|Q1|2/26,0079-6727,1873-1627
Tourism Management,12.4,13.6,Q1,MANAGEMENT|Q1|9/401,0261-5177,1879-3193
FOOD HYDROCOLLOIDS,12.4,13.3,Q1,FOOD SCIENCE & TECHNOLOGY|Q1|4/173,0268-005X,1873-7137
WATER RESEARCH,12.4,12.9,Q1,WATER RESOURCES|Q1|1/127,0043-1354,1879-2448
Artificial Intelligence in Agriculture,12.4,12.7,Q1,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE|Q1|19/197",2097-2113,2589-7217
AGEING RESEARCH REVIEWS,12.4,14.9,Q1,GERIATRICS & GERONTOLOGY|Q1|3/74,1568-1637,1872-9649
Annual Review of Food Science and Technology,12.4,14.2,Q1,FOOD SCIENCE & TECHNOLOGY|Q1|5/173,1941-1413,1941-1421
FEMS MICROBIOLOGY REVIEWS,12.3,13.4,Q1,MICROBIOLOGY|Q1|12/161,0168-6445,1574-6976
International Journal of Oral Science,12.2,13.6,Q1,"DENTISTRY, ORAL SURGERY & MEDICINE|Q1|2/157",1674-2818,2049-3169
COMMUNICATIONS OF THE ACM,12.2,20.3,Q1,"COMPUTER SCIENCE, THEORY & METHODS|Q1|6/143",0001-0782,1557-7317
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,12.2,13.7,Q1,REMOTE SENSING|Q1|3/62,0924-2716,1872-8235
CLINICAL PSYCHOLOGY REVIEW,12.2,16.8,Q1,"PSYCHOLOGY, CLINICAL|Q1|2/180",0272-7358,1873-7811
Smart Learning Environments,12.1,10.2,Q1,EDUCATION & EDUCATIONAL RESEARCH|Q1|6/756,N/A,2196-7091
Small,12.1,12.5,Q1,"PHYSICS, CONDENSED MATTER|Q1|7/79",1613-6810,1613-6829
JOURNAL OF BIOMEDICAL SCIENCE,12.1,12.0,Q1,"MEDICINE, RESEARCH & EXPERIMENTAL|Q1|15/189",1021-7770,1423-0127
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,12.1,11.9,Q1,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS|Q1|2/135",1134-3060,1886-1784
JOURNAL OF FINANCIAL ECONOMICS,12.0,13.7,Q1,ECONOMICS|Q1|5/597,0304-405X,N/A
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,12.0,14.5,Q1,"COMPUTER SCIENCE, THEORY & METHODS|Q1|5/143",1089-778X,1941-0026
MOLECULAR THERAPY,12.0,12.4,Q1,"MEDICINE, RESEARCH & EXPERIMENTAL|Q1|9/189",1525-0016,1525-0024
Clinical Gastroenterology and Hepatology,12.0,11.7,Q1,GASTROENTEROLOGY & HEPATOLOGY|Q1|9/143,1542-3565,1542-7714
GLOBAL CHANGE BIOLOGY,12.0,14.0,Q1,ENVIRONMENTAL SCIENCES|Q1|18/358,1354-1013,1365-2486
IEEE Reviews in Biomedical Engineering,12.0,13.1,Q1,"ENGINEERING, BIOMEDICAL|Q1|3/122",1937-3333,1941-1189
ALLERGY,12.0,11.3,Q1,IMMUNOLOGY|Q1|9/181,0105-4538,1398-9995
Sustainable Cities and Society,12.0,11.3,Q1,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY|Q1|10/91,2210-6707,2210-6715
Advanced Industrial and Engineering Polymer Research,12.0,N/A,Q1,POLYMER SCIENCE|Q1|4/94,2542-5048,2542-5048
Carbon Neutralization,12.0,12.0,Q1,,2769-3333,2769-3325
TRAC-TRENDS IN ANALYTICAL CHEMISTRY,12.0,13.2,Q1,"CHEMISTRY, ANALYTICAL|Q1|1/106",0165-9936,1879-3142
IEEE TRANSACTIONS ON FUZZY SYSTEMS,11.9,10.8,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q1|10/352",1063-6706,1941-0034
METABOLISM-CLINICAL AND EXPERIMENTAL,11.9,11.8,Q1,ENDOCRINOLOGY & METABOLISM|Q1|9/186,0026-0495,1532-8600
Redox Biology,11.9,13.1,Q1,BIOCHEMISTRY & MOLECULAR BIOLOGY|Q1|17/313,2213-2317,2213-2317
Asian Journal of Pharmaceutical Sciences,11.9,10.9,Q1,PHARMACOLOGY & PHARMACY|Q1|11/354,1818-0876,1818-0876
JOURNAL OF INFECTION,11.9,10.3,Q1,INFECTIOUS DISEASES|Q1|3/132,0163-4453,1532-2742
Protection and Control of Modern Power Systems,11.9,9.6,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q1|16/352",2367-2617,2367-0983
npj Computational Materials,11.9,13.0,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|59/438",N/A,2057-3960
Biofuel Research Journal-BRJ,11.9,9.1,Q1,ENERGY & FUELS|Q1|11/170,2292-8782,2292-8782
Industrial Chemistry & Materials,11.9,11.9,Q1,,2755-2608,2755-2500
Annual Review of Phytopathology,11.9,12.4,Q1,PLANT SCIENCES|Q1|10/265,0066-4286,1545-2107
Polymer Reviews,11.9,15.3,Q1,POLYMER SCIENCE|Q1|2/94,1558-3724,1558-3716
JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,11.8,11.9,Q1,DERMATOLOGY|Q1|1/94,0190-9622,1097-6787
Med,11.8,11.8,Q1,"MEDICINE, RESEARCH & EXPERIMENTAL|Q1|5/189",2666-6340,2666-6340
JACC-Heart Failure,11.8,12.1,Q1,CARDIAC & CARDIOVASCULAR SYSTEMS|Q1|11/220,2213-1779,2213-1787
Facta Universitatis-Series Mechanical Engineering,11.8,6.5,Q1,"ENGINEERING, MECHANICAL|Q1|3/180",0354-2025,2335-0164
MEDICAL IMAGE ANALYSIS,11.8,13.0,Q1,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q1|3/204",1361-8415,1361-8423
Journal of Ocean Engineering and Science,11.8,9.0,Q1,"ENGINEERING, OCEAN|Q1|1/18",2468-0133,2468-0133
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,11.8,21.5,Q1,MANAGEMENT|Q1|21/401,0963-8687,1873-1198
CYTOKINE & GROWTH FACTOR REVIEWS,11.8,10.7,Q1,CELL BIOLOGY|Q1|28/205,1359-6101,1879-0305
BRAIN,11.7,12.8,Q1,NEUROSCIENCES|Q1|14/310,0006-8950,1460-2156
BIOLOGICAL REVIEWS,11.7,14.4,Q1,BIOLOGY|Q1|2/109,1464-7931,1469-185X
Astrophysical Journal Letters,11.7,9.3,Q1,ASTRONOMY & ASTROPHYSICS|Q1|9/84,2041-8205,2041-8213
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,11.7,12.8,Q1,"COMPUTER SCIENCE, THEORY & METHODS|Q1|12/143",1942-4787,1942-4795
Annual Review of Physical Chemistry,11.7,14.5,Q1,"CHEMISTRY, PHYSICAL|Q1|21/178",0066-426X,1545-1593
AMERICAN ECONOMIC REVIEW,11.6,16.6,Q1,ECONOMICS|Q1|4/597,0002-8282,1944-7981
Earth System Science Data,11.6,13.9,Q1,METEOROLOGY & ATMOSPHERIC SCIENCES|Q1|2/110,1866-3508,1866-3516
Engineering,11.6,13.1,Q1,"ENGINEERING, MULTIDISCIPLINARY|Q1|2/179",2095-8099,2096-0026
Blood Cancer Journal,11.6,12.1,Q1,ONCOLOGY|Q1|18/322,2044-5385,2044-5385
